,bodyId_pre,bodyId_post,roi,weight,type_pre,instance_pre,type_post,instance_post
0,21065,10005,AOTU(R),128,LC10a,LC10a_R,AOTU019,AOTU019_R
1,21065,10031,AOTU(R),70,LC10a,LC10a_R,AOTU041,AOTU041_R
2,21065,10148,AOTU(R),2,LC10a,LC10a_R,AOTU041,AOTU041_L
3,21065,10212,AOTU(R),4,LC10a,LC10a_R,AOTU042,AOTU042_L
4,21065,10379,AOTU(R),2,LC10a,LC10a_R,DNa10,DNa10_R
5,21065,10406,AOTU(R),1,LC10a,LC10a_R,AOTU012,AOTU012_R
6,21065,10502,AOTU(R),1,LC10a,LC10a_R,AOTU041,AOTU041_L
7,21065,10526,AOTU(R),1,LC10a,LC10a_R,AOTU035,AOTU035_L
8,21065,10771,LO(R),6,LC10a,LC10a_R,LT66,LT66_R
9,21065,10774,AOTU(R),4,LC10a,LC10a_R,AOTU100m,AOTU100m_R
10,21065,10850,AOTU(R),41,LC10a,LC10a_R,AOTU016_c,AOTU016_c_R
11,21065,10875,AOTU(R),4,LC10a,LC10a_R,AOTU042,AOTU042_L
12,21065,10914,LO(R),1,LC10a,LC10a_R,LoVC18,LoVC18_R
13,21065,11196,AOTU(R),2,LC10a,LC10a_R,AOTU103m,AOTU103m_R
14,21065,11291,LO(R),1,LC10a,LC10a_R,LT82a,LT82a_R
15,21065,11452,AOTU(R),122,LC10a,LC10a_R,TuTuA_2,TuTuA_2_R
16,21065,11522,Optic-unspecified(R),1,LC10a,LC10a_R,LT86,LT86_R
17,21065,11579,LO(R),3,LC10a,LC10a_R,LT82a,LT82a_R
18,21065,11602,LO(R),1,LC10a,LC10a_R,OA-ASM1,OA-ASM1_L
19,21065,11731,AOTU(R),27,LC10a,LC10a_R,TuTuA_1,TuTuA_1_R
20,21065,11787,AOTU(R),1,LC10a,LC10a_R,AOTU033,AOTU033_R
21,21065,11887,LO(R),3,LC10a,LC10a_R,LT82b,LT82b_R
22,21065,12051,AOTU(R),13,LC10a,LC10a_R,AOTU101m,AOTU101m_R
23,21065,12084,AOTU(R),74,LC10a,LC10a_R,AOTU063_b,AOTU063_b_R
24,21065,12638,LO(R),3,LC10a,LC10a_R,MeLo8,MeLo8_R
25,21065,12792,AOTU(R),43,LC10a,LC10a_R,AOTU023,AOTU023_R
26,21065,13376,LO(R),1,LC10a,LC10a_R,Li30,Li30_R
27,21065,13441,AOTU(R),49,LC10a,LC10a_R,AOTU027,AOTU027_R
28,21065,13588,LO(R),7,LC10a,LC10a_R,Li30,Li30_R
29,21065,13966,AOTU(R),2,LC10a,LC10a_R,AVLP749m,AVLP749m_R
30,21065,14608,AOTU(R),5,LC10a,LC10a_R,SMP148,SMP148_R
31,21065,14751,AOTU(R),3,LC10a,LC10a_R,AOTU008,AOTU008_R
32,21065,15040,AOTU(R),1,LC10a,LC10a_R,SMP080,SMP080_R
33,21065,15150,AOTU(R),2,LC10a,LC10a_R,LT52,LT52_R
34,21065,15927,AOTU(R),19,LC10a,LC10a_R,AOTU014,AOTU014_R
35,21065,16284,AOTU(R),3,LC10a,LC10a_R,LT52,LT52_R
36,21065,17021,AOTU(R),1,LC10a,LC10a_R,SIP017,SIP017_R
37,21065,17436,AOTU(R),29,LC10a,LC10a_R,AOTU015,AOTU015_R
38,21065,17461,AOTU(R),21,LC10a,LC10a_R,AOTU015,AOTU015_R
39,21065,17953,AOTU(R),2,LC10a,LC10a_R,AOTU002_c,AOTU002_c_R
40,21065,17994,AOTU(R),28,LC10a,LC10a_R,AOTU029,AOTU029_R
41,21065,18026,AOTU(R),21,LC10a,LC10a_R,AOTU016_a,AOTU016_a_R
42,21065,18138,AOTU(R),2,LC10a,LC10a_R,AOTU015,AOTU015_R
43,21065,18146,AOTU(R),15,LC10a,LC10a_R,AOTU026,AOTU026_R
44,21065,18335,AOTU(R),28,LC10a,LC10a_R,AOTU015,AOTU015_R
45,21065,18720,AOTU(R),3,LC10a,LC10a_R,AOTU017,AOTU017_R
46,21065,18864,AOTU(R),1,LC10a,LC10a_R,AOTU028,AOTU028_R
47,21065,19066,AOTU(R),25,LC10a,LC10a_R,AOTU016_b,AOTU016_b_R
48,21065,19376,AOTU(R),2,LC10a,LC10a_R,LT52,LT52_R
49,21065,19563,AOTU(R),37,LC10a,LC10a_R,AOTU016_c,AOTU016_c_R
50,21065,19929,AOTU(R),4,LC10a,LC10a_R,AOTU050,AOTU050_R
51,21065,20374,LO(R),1,LC10a,LC10a_R,MeLo10,MeLo10_R
52,21065,20447,AOTU(R),1,LC10a,LC10a_R,AOTU008,AOTU008_R
53,21065,20582,AOTU(R),12,LC10a,LC10a_R,AOTU008,AOTU008_R
54,21065,21199,AOTU(R),1,LC10a,LC10a_R,LC10a,LC10a_R
55,21065,21238,AOTU(R),7,LC10a,LC10a_R,LC10a,LC10a_R
56,21065,21238,LO(R),1,LC10a,LC10a_R,LC10a,LC10a_R
57,21065,21241,AOTU(R),1,LC10a,LC10a_R,AOTU016_b,AOTU016_b_R
58,21065,21375,AOTU(R),3,LC10a,LC10a_R,AOTU013,AOTU013_R
59,21065,21632,AOTU(R),4,LC10a,LC10a_R,LC10a,LC10a_R
60,21065,22014,AOTU(R),4,LC10a,LC10a_R,LT52,LT52_R
61,21065,22148,AOTU(R),2,LC10a,LC10a_R,LC10a,LC10a_R
62,21065,22189,AOTU(R),6,LC10a,LC10a_R,LC10d,LC10d_R
63,21065,22248,AOTU(R),7,LC10a,LC10a_R,LC10a,LC10a_R
64,21065,22315,AOTU(R),6,LC10a,LC10a_R,AOTU008,AOTU008_R
65,21065,22397,AOTU(R),3,LC10a,LC10a_R,LC10a,LC10a_R
66,21065,22397,LO(R),1,LC10a,LC10a_R,LC10a,LC10a_R
67,21065,22750,AOTU(R),8,LC10a,LC10a_R,LC10a,LC10a_R
68,21065,22783,AOTU(R),9,LC10a,LC10a_R,LC10a,LC10a_R
69,21065,22831,AOTU(R),3,LC10a,LC10a_R,LC10a,LC10a_R
70,21065,22886,AOTU(R),1,LC10a,LC10a_R,LC10d,LC10d_R
71,21065,22886,CentralBrain-unspecified,1,LC10a,LC10a_R,LC10d,LC10d_R
72,21065,22989,AOTU(R),7,LC10a,LC10a_R,LC10a,LC10a_R
73,21065,22990,AOTU(R),7,LC10a,LC10a_R,LC10d,LC10d_R
74,21065,22997,AOTU(R),2,LC10a,LC10a_R,LC10a,LC10a_R
75,21065,23002,AOTU(R),2,LC10a,LC10a_R,LC10a,LC10a_R
76,21065,23377,AOTU(R),16,LC10a,LC10a_R,LC10a,LC10a_R
77,21065,23413,AOTU(R),2,LC10a,LC10a_R,LC10d,LC10d_R
78,21065,23463,AOTU(R),13,LC10a,LC10a_R,LC10a,LC10a_R
79,21065,23509,AOTU(R),2,LC10a,LC10a_R,AOTU007_c,AOTU007_c_R
80,21065,23536,AOTU(R),5,LC10a,LC10a_R,AOTU008,AOTU008_R
81,21065,23686,AOTU(R),1,LC10a,LC10a_R,LC10a,LC10a_R
82,21065,23729,AOTU(R),9,LC10a,LC10a_R,LC10d,LC10d_R
83,21065,23868,AOTU(R),2,LC10a,LC10a_R,LC10a,LC10a_R
84,21065,23890,AOTU(R),1,LC10a,LC10a_R,LC10a,LC10a_R
85,21065,24027,AOTU(R),2,LC10a,LC10a_R,LC10d,LC10d_R
86,21065,24035,AOTU(R),2,LC10a,LC10a_R,LC10a,LC10a_R
87,21065,24071,AOTU(R),2,LC10a,LC10a_R,LC10a,LC10a_R
88,21065,24211,AOTU(R),2,LC10a,LC10a_R,LC10a,LC10a_R
89,21065,24283,AOTU(R),6,LC10a,LC10a_R,LC10a,LC10a_R
90,21065,24381,LO(R),3,LC10a,LC10a_R,LC9,LC9_R
91,21065,24492,AOTU(R),2,LC10a,LC10a_R,LC10a,LC10a_R
92,21065,24592,AOTU(R),1,LC10a,LC10a_R,LC10a,LC10a_R
93,21065,24710,LO(R),2,LC10a,LC10a_R,LC9,LC9_R
94,21065,24909,AOTU(R),1,LC10a,LC10a_R,LC10a,LC10a_R
95,21065,25023,AOTU(R),17,LC10a,LC10a_R,AOTU008,AOTU008_R
96,21065,25290,LO(R),1,LC10a,LC10a_R,LC11,LC11_R
97,21065,25400,AOTU(R),2,LC10a,LC10a_R,LC10a,LC10a_R
98,21065,25445,CentralBrain-unspecified,1,LC10a,LC10a_R,LC10d,LC10d_R
99,21065,25860,AOTU(R),2,LC10a,LC10a_R,AOTU059,25860(AOTU)_R
100,21065,26199,AOTU(R),1,LC10a,LC10a_R,AOTU002_c,AOTU002_c_R
101,21065,26320,AOTU(R),23,LC10a,LC10a_R,AOTU008,AOTU008_R
102,21065,26379,AOTU(R),14,LC10a,LC10a_R,LC10d,LC10d_R
103,21065,26723,AOTU(R),7,LC10a,LC10a_R,LC10d,LC10d_R
104,21065,26859,LO(R),1,LC10a,LC10a_R,LC9,LC9_R
105,21065,26993,AOTU(R),5,LC10a,LC10a_R,P1_1b,16262(P1 bundle)_R
106,21065,27000,LO(R),2,LC10a,LC10a_R,LLPC1,LLPC1_R
107,21065,27006,LO(R),2,LC10a,LC10a_R,LLPC1,LLPC1_R
108,21065,27142,LO(R),4,LC10a,LC10a_R,LLPC1,LLPC1_R
109,21065,27273,AOTU(R),1,LC10a,LC10a_R,AOTU059,14368(AOTU)_R
110,21065,27450,LO(R),14,LC10a,LC10a_R,MeLo13,MeLo13_R
111,21065,27544,AOTU(R),1,LC10a,LC10a_R,LC10d,LC10d_R
112,21065,28153,LO(R),6,LC10a,LC10a_R,LLPC1,LLPC1_R
113,21065,28392,AOTU(R),2,LC10a,LC10a_R,SMP151,SMP151_R
114,21065,28671,AOTU(R),5,LC10a,LC10a_R,AOTU022,AOTU022_R
115,21065,28823,AOTU(R),1,LC10a,LC10a_R,LC10a,LC10a_R
116,21065,28922,AOTU(R),9,LC10a,LC10a_R,AOTU008,AOTU008_R
117,21065,28944,AOTU(R),2,LC10a,LC10a_R,LC10d,LC10d_R
