,bodyId_pre,bodyId_post,roi,weight,type_pre,instance_pre,type_post,instance_post
0,10005,22397,AOTU(R),1,AOTU019,AOTU019_R,LC10a,LC10a_R
1,10029,23421,LO(R),1,LoVC16,LoVC16_R,LC10a,LC10a_R
2,10029,24035,LO(R),1,LoVC16,LoVC16_R,LC10a,LC10a_R
3,10029,37871,LO(R),1,LoVC16,LoVC16_R,LC10a,LC10a_R
4,10029,42452,LO(R),1,LoVC16,LoVC16_R,LC10a,LC10a_R
5,10029,45300,LO(R),7,LoVC16,LoVC16_R,LC10a,LC10a_R
6,10029,54562,LO(R),6,LoVC16,LoVC16_R,LC10a,LC10a_R
7,10029,70408,LO(R),2,LoVC16,LoVC16_R,LC10a,LC10a_R
8,10029,76174,LO(R),1,LoVC16,LoVC16_R,LC10a,LC10a_R
9,10029,84104,LO(R),2,LoVC16,LoVC16_R,LC10a,LC10a_R
10,10031,21065,AOTU(R),8,AOTU041,AOTU041_R,LC10a,LC10a_R
11,10031,21199,AOTU(R),10,AOTU041,AOTU041_R,LC10a,LC10a_R
12,10031,21238,AOTU(R),7,AOTU041,AOTU041_R,LC10a,LC10a_R
13,10031,21426,AOTU(R),1,AOTU041,AOTU041_R,LC10a,LC10a_R
14,10031,21632,AOTU(R),6,AOTU041,AOTU041_R,LC10a,LC10a_R
15,10031,21983,AOTU(R),8,AOTU041,AOTU041_R,LC10a,LC10a_R
16,10031,21984,AOTU(R),2,AOTU041,AOTU041_R,LC10a,LC10a_R
17,10031,22070,AOTU(R),8,AOTU041,AOTU041_R,LC10a,LC10a_R
18,10031,22148,AOTU(R),12,AOTU041,AOTU041_R,LC10a,LC10a_R
19,10031,22248,AOTU(R),3,AOTU041,AOTU041_R,LC10a,LC10a_R
20,10031,22397,AOTU(R),6,AOTU041,AOTU041_R,LC10a,LC10a_R
21,10031,22505,AOTU(R),8,AOTU041,AOTU041_R,LC10a,LC10a_R
22,10031,22510,AOTU(R),1,AOTU041,AOTU041_R,LC10a,LC10a_R
23,10031,22750,AOTU(R),6,AOTU041,AOTU041_R,LC10a,LC10a_R
24,10031,22783,AOTU(R),4,AOTU041,AOTU041_R,LC10a,LC10a_R
25,10031,22831,AOTU(R),6,AOTU041,AOTU041_R,LC10a,LC10a_R
26,10031,22989,AOTU(R),4,AOTU041,AOTU041_R,LC10a,LC10a_R
27,10031,22997,AOTU(R),4,AOTU041,AOTU041_R,LC10a,LC10a_R
28,10031,23002,AOTU(R),16,AOTU041,AOTU041_R,LC10a,LC10a_R
29,10031,23154,AOTU(R),2,AOTU041,AOTU041_R,LC10a,LC10a_R
30,10031,23210,AOTU(R),6,AOTU041,AOTU041_R,LC10a,LC10a_R
31,10031,23377,AOTU(R),3,AOTU041,AOTU041_R,LC10a,LC10a_R
32,10031,23463,AOTU(R),2,AOTU041,AOTU041_R,LC10a,LC10a_R
33,10031,23499,AOTU(R),2,AOTU041,AOTU041_R,LC10a,LC10a_R
34,10031,23677,AOTU(R),9,AOTU041,AOTU041_R,LC10a,LC10a_R
35,10031,23686,AOTU(R),1,AOTU041,AOTU041_R,LC10a,LC10a_R
36,10031,23719,AOTU(R),14,AOTU041,AOTU041_R,LC10a,LC10a_R
37,10031,23830,AOTU(R),3,AOTU041,AOTU041_R,LC10a,LC10a_R
38,10031,23867,AOTU(R),13,AOTU041,AOTU041_R,LC10a,LC10a_R
39,10031,23868,AOTU(R),7,AOTU041,AOTU041_R,LC10a,LC10a_R
40,10031,23890,AOTU(R),4,AOTU041,AOTU041_R,LC10a,LC10a_R
41,10031,24035,AOTU(R),10,AOTU041,AOTU041_R,LC10a,LC10a_R
42,10031,24071,AOTU(R),5,AOTU041,AOTU041_R,LC10a,LC10a_R
43,10031,24164,AOTU(R),11,AOTU041,AOTU041_R,LC10a,LC10a_R
44,10031,24211,AOTU(R),1,AOTU041,AOTU041_R,LC10a,LC10a_R
45,10031,24283,AOTU(R),6,AOTU041,AOTU041_R,LC10a,LC10a_R
46,10031,24482,AOTU(R),10,AOTU041,AOTU041_R,LC10a,LC10a_R
47,10031,24492,AOTU(R),5,AOTU041,AOTU041_R,LC10a,LC10a_R
48,10031,24505,AOTU(R),13,AOTU041,AOTU041_R,LC10a,LC10a_R
49,10031,24592,AOTU(R),11,AOTU041,AOTU041_R,LC10a,LC10a_R
50,10031,24784,AOTU(R),17,AOTU041,AOTU041_R,LC10a,LC10a_R
51,10031,24909,AOTU(R),4,AOTU041,AOTU041_R,LC10a,LC10a_R
52,10031,25088,AOTU(R),3,AOTU041,AOTU041_R,LC10a,LC10a_R
53,10031,25167,AOTU(R),3,AOTU041,AOTU041_R,LC10a,LC10a_R
54,10031,25198,AOTU(R),5,AOTU041,AOTU041_R,LC10a,LC10a_R
55,10031,25202,AOTU(R),2,AOTU041,AOTU041_R,LC10a,LC10a_R
56,10031,25369,AOTU(R),8,AOTU041,AOTU041_R,LC10a,LC10a_R
57,10031,25394,AOTU(R),10,AOTU041,AOTU041_R,LC10a,LC10a_R
58,10031,25400,AOTU(R),14,AOTU041,AOTU041_R,LC10a,LC10a_R
59,10031,25446,AOTU(R),1,AOTU041,AOTU041_R,LC10a,LC10a_R
60,10031,25641,AOTU(R),1,AOTU041,AOTU041_R,LC10a,LC10a_R
61,10031,25711,AOTU(R),12,AOTU041,AOTU041_R,LC10a,LC10a_R
62,10031,25952,AOTU(R),1,AOTU041,AOTU041_R,LC10a,LC10a_R
63,10031,26373,AOTU(R),2,AOTU041,AOTU041_R,LC10a,LC10a_R
64,10031,26450,AOTU(R),11,AOTU041,AOTU041_R,LC10a,LC10a_R
65,10031,26976,AOTU(R),2,AOTU041,AOTU041_R,LC10a,LC10a_R
66,10031,27067,AOTU(R),1,AOTU041,AOTU041_R,LC10a,LC10a_R
67,10031,27334,AOTU(R),10,AOTU041,AOTU041_R,LC10a,LC10a_R
68,10031,27579,AOTU(R),3,AOTU041,AOTU041_R,LC10a,LC10a_R
69,10031,27709,AOTU(R),2,AOTU041,AOTU041_R,LC10a,LC10a_R
70,10031,28204,AOTU(R),1,AOTU041,AOTU041_R,LC10a,LC10a_R
71,10031,28259,AOTU(R),10,AOTU041,AOTU041_R,LC10a,LC10a_R
72,10031,28390,AOTU(R),1,AOTU041,AOTU041_R,LC10a,LC10a_R
73,10031,28599,AOTU(R),13,AOTU041,AOTU041_R,LC10a,LC10a_R
74,10031,28823,AOTU(R),1,AOTU041,AOTU041_R,LC10a,LC10a_R
