,bodyId,instance,type,pre,post,downstream,upstream,size,status,statusLabel,cellBodyFiber,somaLocation,roiInfo,tosomaLocation,predictedNt,totalNtPredictions,mancSerial,mcnsSerial,locationType,group,location,birthtime,receptorType,celltypeTotalNtPredictions,posteriorCervicalRootPosition,synweight,mancGroup,consensusNt,celltypePredictedNtConfidence,mancBodyid,serialMotif,flywireId,anteriorCervicalRootPosition,assignedOlHex2,class,synonyms,exitNerve,flywireType,trumanHlVncOnly,matchingNotes,subclass,itoleeHl,supertype,fruDsx,celltypePredictedNt,hemibrainType,mancType,rootSide,superclass,dimorphism,assignedOlHex1,trumanHl,entryNerve,predictedNtConfidence,somaNeuromere,somaSide,hemibrainBodyId,inputRois,outputRois
0,10005,AOTU019_R,AOTU019,2837,31981,23423,31981,11847745920,Traced,Roughly traced,,"[41190, 18491, 12885]","{'AOTU(R)': {'post': 18168, 'pre': 11, 'downstream': 46, 'upstream': 18168, 'synweight': 18214}, 'CRE(R)': {'post': 378, 'upstream': 378, 'synweight': 378}, 'CentralBrain': {'post': 31981, 'pre': 2837, 'downstream': 23423, 'upstream': 31981, 'synweight': 55404}, 'CentralBrain-unspecified': {'post': 412, 'pre': 62, 'downstream': 421, 'upstream': 412, 'synweight': 833}, 'EPA(L)': {'post': 24, 'pre': 83, 'downstream': 705, 'upstream': 24, 'synweight': 729}, 'EPA(R)': {'post': 390, 'upstream': 390, 'synweight': 390}, 'GNG': {'post': 18, 'pre': 56, 'downstream': 483, 'upstream': 18, 'synweight': 501}, 'ICL(R)': {'post': 46, 'upstream': 46, 'synweight': 46}, 'IPS(L)': {'post': 121, 'pre': 412, 'downstream': 3399, 'upstream': 121, 'synweight': 3520}, 'LAL(L)': {'post': 299, 'pre': 1094, 'downstream': 9344, 'upstream': 299, 'synweight': 9643}, 'LAL(R)': {'post': 4673, 'pre': 15, 'downstream': 64, 'upstream': 4673, 'synweight': 4737}, 'PLP(R)': {'post': 160, 'upstream': 160, 'synweight': 160}, 'SCL(R)': {'post': 9, 'upstream': 9, 'synweight': 9}, 'SIP(R)': {'post': 3563, 'pre': 37, 'downstream': 179, 'upstream': 3563, 'synweight': 3742}, 'SMP(R)': {'post': 774, 'pre': 1, 'downstream': 1, 'upstream': 774, 'synweight': 775}, 'SPS(L)': {'post': 123, 'pre': 404, 'downstream': 3161, 'upstream': 123, 'synweight': 3284}, 'SPS(R)': {'post': 812, 'pre': 1, 'downstream': 5, 'upstream': 812, 'synweight': 817}, 'VES(L)': {'post': 203, 'pre': 651, 'downstream': 5574, 'upstream': 203, 'synweight': 5777}, 'VES(R)': {'post': 1691, 'pre': 4, 'downstream': 9, 'upstream': 1691, 'synweight': 1700}, 'WED(L)': {'post': 1, 'downstream': 4, 'upstream': 1, 'synweight': 5}, ""a'L(R)"": {'post': 20, 'upstream': 20, 'synweight': 20}, 'aL(R)': {'post': 36, 'upstream': 36, 'synweight': 36}, 'bL(R)': {'post': 1, 'upstream': 1, 'synweight': 1}, 'gL(R)': {'post': 59, 'pre': 6, 'downstream': 28, 'upstream': 59, 'synweight': 87}}",,gaba,2837,,,,10005.0,,early,,5673,,55404,,gaba,0.7795529365539551,,,,,,,,,AOTU019,,,,putative_primary,,,gaba,AOTU019,,,cb_intrinsic,,,,,0.7919332385063171,,R,,"['AOTU(R)', 'CRE(R)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(L)', 'EPA(R)', 'GNG', 'ICL(R)', 'IPS(L)', 'LAL(L)', 'LAL(R)', 'PLP(R)', 'SCL(R)', 'SIP(R)', 'SMP(R)', 'SPS(L)', 'SPS(R)', 'VES(L)', 'VES(R)', 'WED(L)', ""a'L(R)"", 'aL(R)', 'bL(R)', 'gL(R)']","['AOTU(R)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(L)', 'GNG', 'IPS(L)', 'LAL(L)', 'LAL(R)', 'SIP(R)', 'SMP(R)', 'SPS(L)', 'SPS(R)', 'VES(L)', 'VES(R)', 'gL(R)']"
1,10031,AOTU041_R,AOTU041,2134,20586,13446,20586,5326291658,Traced,Roughly traced,,"[32647, 21900, 17175]","{'AOTU(L)': {'post': 844, 'pre': 453, 'downstream': 2905, 'upstream': 844, 'synweight': 3749}, 'AOTU(R)': {'post': 16446, 'pre': 1404, 'downstream': 8815, 'upstream': 16446, 'synweight': 25261}, 'CRE(L)': {'post': 2, 'upstream': 2, 'synweight': 2}, 'CRE(R)': {'post': 1, 'upstream': 1, 'synweight': 1}, 'CentralBrain': {'post': 20586, 'pre': 2134, 'downstream': 13446, 'upstream': 20586, 'synweight': 34032}, 'CentralBrain-unspecified': {'post': 604, 'pre': 51, 'downstream': 314, 'upstream': 604, 'synweight': 918}, 'EPA(R)': {'post': 187, 'pre': 21, 'downstream': 127, 'upstream': 187, 'synweight': 314}, 'GOR(R)': {'post': 3, 'upstream': 3, 'synweight': 3}, 'ICL(R)': {'post': 24, 'pre': 5, 'downstream': 29, 'upstream': 24, 'synweight': 53}, 'LAL(R)': {'post': 695, 'pre': 42, 'downstream': 255, 'upstream': 695, 'synweight': 950}, 'SIP(L)': {'post': 20, 'pre': 18, 'downstream': 108, 'upstream': 20, 'synweight': 128}, 'SIP(R)': {'post': 1592, 'pre': 114, 'downstream': 723, 'upstream': 1592, 'synweight': 2315}, 'SLP(R)': {'post': 7, 'downstream': 1, 'upstream': 7, 'synweight': 8}, 'SMP(R)': {'post': 17, 'pre': 2, 'downstream': 13, 'upstream': 17, 'synweight': 30}, 'VES(R)': {'post': 144, 'pre': 24, 'downstream': 156, 'upstream': 144, 'synweight': 300}}",,gaba,2134,,,,10031.0,,early,,8928,,34032,,gaba,0.799860954284668,,,,,,,,,AOTU041,,,,putative_primary,,,gaba,AOTU041,,,cb_intrinsic,,,,,0.82969069480896,,R,,"['AOTU(L)', 'AOTU(R)', 'CRE(L)', 'CRE(R)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(R)', 'GOR(R)', 'ICL(R)', 'LAL(R)', 'SIP(L)', 'SIP(R)', 'SLP(R)', 'SMP(R)', 'VES(R)']","['AOTU(L)', 'AOTU(R)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(R)', 'ICL(R)', 'LAL(R)', 'SIP(L)', 'SIP(R)', 'SMP(R)', 'VES(R)']"
2,10070,AOTU019_L,AOTU019,2836,30714,23596,30714,11809707230,Traced,Roughly traced,,"[54500, 8886, 17116]","{'AOTU(L)': {'post': 16804, 'pre': 40, 'downstream': 179, 'upstream': 16804, 'synweight': 16983}, 'CRE(L)': {'post': 285, 'pre': 6, 'downstream': 22, 'upstream': 285, 'synweight': 307}, 'CentralBrain': {'post': 30714, 'pre': 2836, 'downstream': 23596, 'upstream': 30714, 'synweight': 54310}, 'CentralBrain-unspecified': {'post': 636, 'pre': 22, 'downstream': 117, 'upstream': 636, 'synweight': 753}, 'EB': {'pre': 1, 'downstream': 8, 'synweight': 8}, 'EPA(L)': {'post': 494, 'pre': 1, 'downstream': 2, 'upstream': 494, 'synweight': 496}, 'EPA(R)': {'post': 16, 'pre': 42, 'downstream': 366, 'upstream': 16, 'synweight': 382}, 'GNG': {'post': 6, 'pre': 35, 'downstream': 280, 'upstream': 6, 'synweight': 286}, 'IPS(R)': {'post': 125, 'pre': 425, 'downstream': 3513, 'upstream': 125, 'synweight': 3638}, 'LAL(L)': {'post': 5368, 'pre': 53, 'downstream': 236, 'upstream': 5368, 'synweight': 5604}, 'LAL(R)': {'post': 307, 'pre': 989, 'downstream': 8900, 'upstream': 307, 'synweight': 9207}, 'PLP(L)': {'post': 121, 'upstream': 121, 'synweight': 121}, 'PLP(R)': {'post': 2, 'pre': 7, 'downstream': 60, 'upstream': 2, 'synweight': 62}, 'SIP(L)': {'post': 2979, 'pre': 46, 'downstream': 157, 'upstream': 2979, 'synweight': 3136}, 'SMP(L)': {'post': 952, 'pre': 3, 'downstream': 7, 'upstream': 952, 'synweight': 959}, 'SPS(L)': {'post': 600, 'pre': 3, 'downstream': 5, 'upstream': 600, 'synweight': 605}, 'SPS(R)': {'post': 152, 'pre': 444, 'downstream': 3753, 'upstream': 152, 'synweight': 3905}, 'VES(L)': {'post': 1358, 'pre': 6, 'downstream': 18, 'upstream': 1358, 'synweight': 1376}, 'VES(R)': {'post': 251, 'pre': 652, 'downstream': 5519, 'upstream': 251, 'synweight': 5770}, 'WED(R)': {'post': 18, 'pre': 45, 'downstream': 366, 'upstream': 18, 'synweight': 384}, ""a'L(L)"": {'post': 89, 'pre': 7, 'downstream': 36, 'upstream': 89, 'synweight': 125}, 'aL(L)': {'post': 31, 'upstream': 31, 'synweight': 31}, 'bL(R)': {'post': 1, 'upstream': 1, 'synweight': 1}, 'gL(L)': {'post': 119, 'pre': 9, 'downstream': 52, 'upstream': 119, 'synweight': 171}}",,gaba,2836,,,,10005.0,,early,,5673,,54310,,gaba,0.7795529365539551,,,,,,,,,AOTU019,,,,putative_primary,,,gaba,AOTU019,,,cb_intrinsic,,,,,0.7671682238578796,,L,,"['AOTU(L)', 'CRE(L)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(L)', 'EPA(R)', 'GNG', 'IPS(R)', 'LAL(L)', 'LAL(R)', 'PLP(L)', 'PLP(R)', 'SIP(L)', 'SMP(L)', 'SPS(L)', 'SPS(R)', 'VES(L)', 'VES(R)', 'WED(R)', ""a'L(L)"", 'aL(L)', 'bL(R)', 'gL(L)']","['AOTU(L)', 'CRE(L)', 'CentralBrain', 'CentralBrain-unspecified', 'EB', 'EPA(L)', 'EPA(R)', 'GNG', 'IPS(R)', 'LAL(L)', 'LAL(R)', 'PLP(R)', 'SIP(L)', 'SMP(L)', 'SPS(L)', 'SPS(R)', 'VES(L)', 'VES(R)', 'WED(R)', ""a'L(L)"", 'gL(L)']"
3,10148,AOTU041_L,AOTU041,2336,19960,14187,19960,5592462575,Traced,Roughly traced,,"[62102, 21807, 15475]","{'AOTU(L)': {'post': 15574, 'pre': 1487, 'downstream': 8869, 'upstream': 15574, 'synweight': 24443}, 'AOTU(R)': {'post': 1030, 'pre': 536, 'downstream': 3393, 'upstream': 1030, 'synweight': 4423}, 'BU(L)': {'post': 4, 'upstream': 4, 'synweight': 4}, 'CRE(L)': {'post': 4, 'pre': 2, 'downstream': 6, 'upstream': 4, 'synweight': 10}, 'CentralBrain': {'post': 19960, 'pre': 2336, 'downstream': 14187, 'upstream': 19960, 'synweight': 34147}, 'CentralBrain-unspecified': {'post': 389, 'pre': 31, 'downstream': 159, 'upstream': 389, 'synweight': 548}, 'EPA(L)': {'post': 109, 'pre': 7, 'downstream': 44, 'upstream': 109, 'synweight': 153}, 'ICL(L)': {'post': 2, 'upstream': 2, 'synweight': 2}, 'LAL(L)': {'post': 1070, 'pre': 54, 'downstream': 342, 'upstream': 1070, 'synweight': 1412}, 'SCL(L)': {'post': 7, 'upstream': 7, 'synweight': 7}, 'SIP(L)': {'post': 1616, 'pre': 160, 'downstream': 988, 'upstream': 1616, 'synweight': 2604}, 'SIP(R)': {'post': 46, 'pre': 36, 'downstream': 235, 'upstream': 46, 'synweight': 281}, 'SMP(L)': {'post': 9, 'upstream': 9, 'synweight': 9}, 'VES(L)': {'post': 71, 'pre': 22, 'downstream': 149, 'upstream': 71, 'synweight': 220}, ""a'L(L)"": {'post': 3, 'upstream': 3, 'synweight': 3}, 'aL(L)': {'post': 25, 'upstream': 25, 'synweight': 25}, 'gL(L)': {'post': 1, 'pre': 1, 'downstream': 2, 'upstream': 1, 'synweight': 3}}",,gaba,2336,,,,10031.0,,early,,8928,,34147,,gaba,0.799860954284668,,,,,,,,,AOTU041,,,,putative_primary,,,gaba,AOTU041,,,cb_intrinsic,,,,,0.7785272002220154,,L,,"['AOTU(L)', 'AOTU(R)', 'BU(L)', 'CRE(L)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(L)', 'ICL(L)', 'LAL(L)', 'SCL(L)', 'SIP(L)', 'SIP(R)', 'SMP(L)', 'VES(L)', ""a'L(L)"", 'aL(L)', 'gL(L)']","['AOTU(L)', 'AOTU(R)', 'CRE(L)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(L)', 'LAL(L)', 'SIP(L)', 'SIP(R)', 'VES(L)', 'gL(L)']"
4,10212,AOTU042_L,AOTU042,3579,10679,22690,10679,4312493196,Traced,Roughly traced,,"[64287, 21193, 14454]","{'AOTU(L)': {'post': 136, 'pre': 2, 'downstream': 14, 'upstream': 136, 'synweight': 150}, 'AOTU(R)': {'post': 1781, 'pre': 2550, 'downstream': 17186, 'upstream': 1781, 'synweight': 18967}, 'CRE(L)': {'post': 485, 'pre': 25, 'downstream': 115, 'upstream': 485, 'synweight': 600}, 'CentralBrain': {'post': 10679, 'pre': 3579, 'downstream': 22690, 'upstream': 10679, 'synweight': 33369}, 'CentralBrain-unspecified': {'post': 348, 'pre': 35, 'downstream': 212, 'upstream': 348, 'synweight': 560}, 'EPA(L)': {'post': 335, 'pre': 29, 'downstream': 131, 'upstream': 335, 'synweight': 466}, 'GOR(L)': {'post': 81, 'pre': 13, 'downstream': 56, 'upstream': 81, 'synweight': 137}, 'ICL(L)': {'post': 19, 'upstream': 19, 'synweight': 19}, 'IPS(L)': {'post': 3, 'upstream': 3, 'synweight': 3}, 'LAL(L)': {'post': 4876, 'pre': 362, 'downstream': 1712, 'upstream': 4876, 'synweight': 6588}, 'PLP(L)': {'post': 44, 'pre': 6, 'downstream': 22, 'upstream': 44, 'synweight': 66}, 'SCL(L)': {'post': 16, 'upstream': 16, 'synweight': 16}, 'SIP(L)': {'post': 672, 'pre': 42, 'downstream': 210, 'upstream': 672, 'synweight': 882}, 'SIP(R)': {'post': 210, 'pre': 352, 'downstream': 2300, 'upstream': 210, 'synweight': 2510}, 'SMP(L)': {'post': 225, 'pre': 10, 'downstream': 42, 'upstream': 225, 'synweight': 267}, 'SPS(L)': {'post': 242, 'pre': 31, 'downstream': 153, 'upstream': 242, 'synweight': 395}, 'VES(L)': {'post': 1191, 'pre': 119, 'downstream': 527, 'upstream': 1191, 'synweight': 1718}, 'aL(L)': {'post': 15, 'pre': 3, 'downstream': 10, 'upstream': 15, 'synweight': 25}}",,gaba,3579,,,,10212.0,,early,,14815,,33369,,gaba,0.8075267672538757,,,,,,,Cachero 2010: aDT-c,,AOTU042,,,,putative_primary,,fru_high,gaba,AOTU042,,,cb_intrinsic,,,,,0.824497640132904,,L,,"['AOTU(L)', 'AOTU(R)', 'CRE(L)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(L)', 'GOR(L)', 'ICL(L)', 'IPS(L)', 'LAL(L)', 'PLP(L)', 'SCL(L)', 'SIP(L)', 'SIP(R)', 'SMP(L)', 'SPS(L)', 'VES(L)', 'aL(L)']","['AOTU(L)', 'AOTU(R)', 'CRE(L)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(L)', 'GOR(L)', 'LAL(L)', 'PLP(L)', 'SIP(L)', 'SIP(R)', 'SMP(L)', 'SPS(L)', 'VES(L)', 'aL(L)']"
5,10219,AOTU023_L,AOTU023,1004,9426,8196,9426,1992934171,Traced,Roughly traced,,"[62500, 19924, 13480]","{'AOTU(L)': {'post': 8064, 'pre': 7, 'downstream': 21, 'upstream': 8064, 'synweight': 8085}, 'ATL(L)': {'post': 4, 'upstream': 4, 'synweight': 4}, 'ATL(R)': {'post': 37, 'pre': 42, 'downstream': 357, 'upstream': 37, 'synweight': 394}, 'CentralBrain': {'post': 9426, 'pre': 1004, 'downstream': 8196, 'upstream': 9426, 'synweight': 17622}, 'CentralBrain-unspecified': {'post': 182, 'pre': 232, 'downstream': 1924, 'upstream': 182, 'synweight': 2106}, 'IB': {'post': 243, 'pre': 281, 'downstream': 2284, 'upstream': 243, 'synweight': 2527}, 'IPS(R)': {'post': 15, 'upstream': 15, 'synweight': 15}, 'SIP(L)': {'post': 526, 'pre': 2, 'downstream': 5, 'upstream': 526, 'synweight': 531}, 'SMP(L)': {'post': 12, 'upstream': 12, 'synweight': 12}, 'SPS(L)': {'post': 177, 'pre': 282, 'downstream': 2296, 'upstream': 177, 'synweight': 2473}, 'SPS(R)': {'post': 156, 'pre': 158, 'downstream': 1309, 'upstream': 156, 'synweight': 1465}, ""a'L(L)"": {'post': 10, 'upstream': 10, 'synweight': 10}}",,acetylcholine,1004,,,,10219.0,,early,,2031,,17622,,acetylcholine,0.59513920545578,,,,,,,,,AOTU023,,,,putative_primary,,,acetylcholine,AOTU023,,,cb_intrinsic,,,,,0.6171559691429138,,L,,"['AOTU(L)', 'ATL(L)', 'ATL(R)', 'CentralBrain', 'CentralBrain-unspecified', 'IB', 'IPS(R)', 'SIP(L)', 'SMP(L)', 'SPS(L)', 'SPS(R)', ""a'L(L)""]","['AOTU(L)', 'ATL(R)', 'CentralBrain', 'CentralBrain-unspecified', 'IB', 'SIP(L)', 'SPS(L)', 'SPS(R)']"
6,10239,AOTU042_R,AOTU042,3834,10079,23846,10079,4509658269,Traced,Roughly traced,,"[31989, 22932, 15519]","{'AOTU(L)': {'post': 1884, 'pre': 3026, 'downstream': 19720, 'upstream': 1884, 'synweight': 21604}, 'AOTU(R)': {'post': 112, 'pre': 2, 'downstream': 7, 'upstream': 112, 'synweight': 119}, 'BU(L)': {'pre': 2, 'downstream': 18, 'synweight': 18}, 'CRE(L)': {'post': 3, 'pre': 1, 'downstream': 4, 'upstream': 3, 'synweight': 7}, 'CRE(R)': {'post': 593, 'pre': 30, 'downstream': 130, 'upstream': 593, 'synweight': 723}, 'CentralBrain': {'post': 10079, 'pre': 3834, 'downstream': 23846, 'upstream': 10079, 'synweight': 33925}, 'CentralBrain-unspecified': {'post': 252, 'pre': 37, 'downstream': 151, 'upstream': 252, 'synweight': 403}, 'EPA(R)': {'post': 331, 'pre': 23, 'downstream': 102, 'upstream': 331, 'synweight': 433}, 'FB': {'post': 1, 'upstream': 1, 'synweight': 1}, 'GA(R)': {'post': 1, 'upstream': 1, 'synweight': 1}, 'GOR(R)': {'post': 49, 'pre': 16, 'downstream': 59, 'upstream': 49, 'synweight': 108}, 'ICL(R)': {'post': 57, 'pre': 2, 'downstream': 12, 'upstream': 57, 'synweight': 69}, 'LAL(R)': {'post': 3432, 'pre': 230, 'downstream': 1058, 'upstream': 3432, 'synweight': 4490}, 'PLP(R)': {'post': 23, 'upstream': 23, 'synweight': 23}, 'SCL(L)': {'downstream': 10, 'synweight': 10}, 'SCL(R)': {'post': 9, 'upstream': 9, 'synweight': 9}, 'SIP(L)': {'post': 202, 'pre': 243, 'downstream': 1562, 'upstream': 202, 'synweight': 1764}, 'SIP(R)': {'post': 1284, 'pre': 73, 'downstream': 340, 'upstream': 1284, 'synweight': 1624}, 'SMP(R)': {'post': 480, 'pre': 18, 'downstream': 72, 'upstream': 480, 'synweight': 552}, 'SPS(R)': {'post': 210, 'pre': 17, 'downstream': 67, 'upstream': 210, 'synweight': 277}, 'VES(R)': {'post': 1135, 'pre': 114, 'downstream': 534, 'upstream': 1135, 'synweight': 1669}, 'WED(R)': {'post': 11, 'upstream': 11, 'synweight': 11}, ""a'L(R)"": {'post': 2, 'upstream': 2, 'synweight': 2}, 'aL(R)': {'post': 5, 'upstream': 5, 'synweight': 5}, 'gL(R)': {'post': 3, 'upstream': 3, 'synweight': 3}}",,gaba,3834,,,,10212.0,,early,,14815,,33925,,gaba,0.8075267672538757,,,,,,,Cachero 2010: aDT-c,,AOTU042,,,,putative_primary,,fru_high,gaba,AOTU042,,,cb_intrinsic,,,,,0.7967437505722046,,R,,"['AOTU(L)', 'AOTU(R)', 'CRE(L)', 'CRE(R)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(R)', 'FB', 'GA(R)', 'GOR(R)', 'ICL(R)', 'LAL(R)', 'PLP(R)', 'SCL(R)', 'SIP(L)', 'SIP(R)', 'SMP(R)', 'SPS(R)', 'VES(R)', 'WED(R)', ""a'L(R)"", 'aL(R)', 'gL(R)']","['AOTU(L)', 'AOTU(R)', 'BU(L)', 'CRE(L)', 'CRE(R)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(R)', 'GOR(R)', 'ICL(R)', 'LAL(R)', 'SIP(L)', 'SIP(R)', 'SMP(R)', 'SPS(R)', 'VES(R)']"
7,10406,AOTU012_R,AOTU012,1623,12712,13524,12712,3089220506,Traced,Roughly traced,,"[38755, 10098, 17805]","{'AOTU(R)': {'post': 8401, 'pre': 15, 'downstream': 85, 'upstream': 8401, 'synweight': 8486}, 'CRE(R)': {'post': 52, 'pre': 1, 'downstream': 3, 'upstream': 52, 'synweight': 55}, 'CentralBrain': {'post': 12712, 'pre': 1623, 'downstream': 13524, 'upstream': 12712, 'synweight': 26236}, 'CentralBrain-unspecified': {'post': 87, 'pre': 17, 'downstream': 86, 'upstream': 87, 'synweight': 173}, 'EPA(R)': {'post': 97, 'pre': 37, 'downstream': 253, 'upstream': 97, 'synweight': 350}, 'FLA(R)': {'post': 10, 'pre': 11, 'downstream': 85, 'upstream': 10, 'synweight': 95}, 'ICL(R)': {'post': 33, 'pre': 13, 'downstream': 75, 'upstream': 33, 'synweight': 108}, 'LAL(R)': {'post': 198, 'pre': 191, 'downstream': 1680, 'upstream': 198, 'synweight': 1878}, 'SCL(R)': {'post': 62, 'pre': 1, 'downstream': 18, 'upstream': 62, 'synweight': 80}, 'SIP(R)': {'post': 2206, 'pre': 137, 'downstream': 931, 'upstream': 2206, 'synweight': 3137}, 'SMP(R)': {'post': 899, 'pre': 18, 'downstream': 111, 'upstream': 899, 'synweight': 1010}, 'VES(R)': {'post': 630, 'pre': 1182, 'downstream': 10197, 'upstream': 630, 'synweight': 10827}, ""a'L(R)"": {'post': 31, 'upstream': 31, 'synweight': 31}, 'aL(R)': {'post': 6, 'upstream': 6, 'synweight': 6}}",,unclear,1623,,,,10406.0,,early,,3120,,26236,,acetylcholine,0.564307689666748,,,,,,,,,AOTU012,,male-specific ventral axon projection,,putative_primary,,,acetylcholine,AOTU012,,,cb_intrinsic,sexually dimorphic,,,,0.4865266680717468,,R,,"['AOTU(R)', 'CRE(R)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(R)', 'FLA(R)', 'ICL(R)', 'LAL(R)', 'SCL(R)', 'SIP(R)', 'SMP(R)', 'VES(R)', ""a'L(R)"", 'aL(R)']","['AOTU(R)', 'CRE(R)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(R)', 'FLA(R)', 'ICL(R)', 'LAL(R)', 'SCL(R)', 'SIP(R)', 'SMP(R)', 'VES(R)']"
8,10410,AOTU035_R,AOTU035,2533,7546,19178,7546,3310673061,Traced,Roughly traced,,"[33876, 21007, 18893]","{'AOTU(L)': {'post': 565, 'pre': 1416, 'downstream': 10845, 'upstream': 565, 'synweight': 11410}, 'AOTU(R)': {'post': 660, 'pre': 1048, 'downstream': 8033, 'upstream': 660, 'synweight': 8693}, 'ATL(L)': {'post': 109, 'upstream': 109, 'synweight': 109}, 'ATL(R)': {'post': 283, 'upstream': 283, 'synweight': 283}, 'CRE(R)': {'post': 12, 'upstream': 12, 'synweight': 12}, 'CentralBrain': {'post': 7546, 'pre': 2533, 'downstream': 19178, 'upstream': 7546, 'synweight': 26724}, 'CentralBrain-unspecified': {'post': 212, 'pre': 5, 'downstream': 14, 'upstream': 212, 'synweight': 226}, 'IB': {'post': 1644, 'pre': 4, 'downstream': 8, 'upstream': 1644, 'synweight': 1652}, 'ICL(L)': {'post': 27, 'upstream': 27, 'synweight': 27}, 'ICL(R)': {'post': 60, 'pre': 2, 'downstream': 5, 'upstream': 60, 'synweight': 65}, 'PLP(R)': {'post': 4, 'upstream': 4, 'synweight': 4}, 'SCL(R)': {'post': 9, 'upstream': 9, 'synweight': 9}, 'SIP(L)': {'post': 9, 'upstream': 9, 'synweight': 9}, 'SIP(R)': {'post': 782, 'pre': 35, 'downstream': 198, 'upstream': 782, 'synweight': 980}, 'SMP(L)': {'post': 93, 'pre': 1, 'downstream': 4, 'upstream': 93, 'synweight': 97}, 'SMP(R)': {'post': 2276, 'pre': 18, 'downstream': 60, 'upstream': 2276, 'synweight': 2336}, 'SPS(L)': {'post': 183, 'upstream': 183, 'synweight': 183}, 'SPS(R)': {'post': 611, 'pre': 4, 'downstream': 11, 'upstream': 611, 'synweight': 622}, 'aL(R)': {'post': 7, 'upstream': 7, 'synweight': 7}}",,unclear,2533,,,,10410.0,,early,,5119,,26724,,serotonin,0.4655129015445709,,,,,,,,,AOTU035,,,,putative_primary,,,serotonin,AOTU035,,,cb_intrinsic,,,,,0.4633883237838745,,R,,"['AOTU(L)', 'AOTU(R)', 'ATL(L)', 'ATL(R)', 'CRE(R)', 'CentralBrain', 'CentralBrain-unspecified', 'IB', 'ICL(L)', 'ICL(R)', 'PLP(R)', 'SCL(R)', 'SIP(L)', 'SIP(R)', 'SMP(L)', 'SMP(R)', 'SPS(L)', 'SPS(R)', 'aL(R)']","['AOTU(L)', 'AOTU(R)', 'CentralBrain', 'CentralBrain-unspecified', 'IB', 'ICL(R)', 'SIP(R)', 'SMP(L)', 'SMP(R)', 'SPS(R)']"
9,10502,AOTU041_L,AOTU041,2259,19638,14052,19638,5379813180,Traced,Roughly traced,,"[60674, 23562, 16656]","{'AOTU(L)': {'post': 14836, 'pre': 1459, 'downstream': 8984, 'upstream': 14836, 'synweight': 23820}, 'AOTU(R)': {'post': 1001, 'pre': 478, 'downstream': 3038, 'upstream': 1001, 'synweight': 4039}, 'BU(L)': {'post': 7, 'pre': 3, 'downstream': 15, 'upstream': 7, 'synweight': 22}, 'CRE(L)': {'post': 3, 'upstream': 3, 'synweight': 3}, 'CentralBrain': {'post': 19638, 'pre': 2259, 'downstream': 14052, 'upstream': 19638, 'synweight': 33690}, 'CentralBrain-unspecified': {'post': 522, 'pre': 56, 'downstream': 320, 'upstream': 522, 'synweight': 842}, 'EPA(L)': {'post': 171, 'pre': 12, 'downstream': 90, 'upstream': 171, 'synweight': 261}, 'LAL(L)': {'post': 1503, 'pre': 98, 'downstream': 611, 'upstream': 1503, 'synweight': 2114}, 'SCL(L)': {'post': 3, 'upstream': 3, 'synweight': 3}, 'SIP(L)': {'post': 1487, 'pre': 111, 'downstream': 731, 'upstream': 1487, 'synweight': 2218}, 'SIP(R)': {'post': 32, 'pre': 20, 'downstream': 133, 'upstream': 32, 'synweight': 165}, 'SMP(L)': {'post': 1, 'upstream': 1, 'synweight': 1}, 'VES(L)': {'post': 67, 'pre': 22, 'downstream': 130, 'upstream': 67, 'synweight': 197}, ""a'L(L)"": {'post': 4, 'upstream': 4, 'synweight': 4}, 'aL(L)': {'post': 1, 'upstream': 1, 'synweight': 1}}",,gaba,2259,,,,10031.0,,early,,8928,,33690,,gaba,0.799860954284668,,,,,,,,,AOTU041,,,,putative_primary,,,gaba,AOTU041,,,cb_intrinsic,,,,,0.7813870906829834,,L,,"['AOTU(L)', 'AOTU(R)', 'BU(L)', 'CRE(L)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(L)', 'LAL(L)', 'SCL(L)', 'SIP(L)', 'SIP(R)', 'SMP(L)', 'VES(L)', ""a'L(L)"", 'aL(L)']","['AOTU(L)', 'AOTU(R)', 'BU(L)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(L)', 'LAL(L)', 'SIP(L)', 'SIP(R)', 'VES(L)']"
