,bodyId_pre,bodyId_post,roi,weight,type_pre,instance_pre,type_post,instance_post
0,21065,10005,AOTU(R),128,LC10a,LC10a_R,AOTU019,AOTU019_R
1,21065,10031,AOTU(R),70,LC10a,LC10a_R,AOTU041,AOTU041_R
2,21065,10148,AOTU(R),2,LC10a,LC10a_R,AOTU041,AOTU041_L
3,21065,10212,AOTU(R),4,LC10a,LC10a_R,AOTU042,AOTU042_L
4,21065,10406,AOTU(R),1,LC10a,LC10a_R,AOTU012,AOTU012_R
5,21065,10502,AOTU(R),1,LC10a,LC10a_R,AOTU041,AOTU041_L
6,21065,10526,AOTU(R),1,LC10a,LC10a_R,AOTU035,AOTU035_L
7,21065,10774,AOTU(R),4,LC10a,LC10a_R,AOTU100m,AOTU100m_R
8,21065,10850,AOTU(R),41,LC10a,LC10a_R,AOTU016_c,AOTU016_c_R
9,21065,10875,AOTU(R),4,LC10a,LC10a_R,AOTU042,AOTU042_L
10,21065,11196,AOTU(R),2,LC10a,LC10a_R,AOTU103m,AOTU103m_R
11,21065,11787,AOTU(R),1,LC10a,LC10a_R,AOTU033,AOTU033_R
12,21065,12051,AOTU(R),13,LC10a,LC10a_R,AOTU101m,AOTU101m_R
13,21065,12084,AOTU(R),74,LC10a,LC10a_R,AOTU063_b,AOTU063_b_R
14,21065,12792,AOTU(R),43,LC10a,LC10a_R,AOTU023,AOTU023_R
15,21065,13441,AOTU(R),49,LC10a,LC10a_R,AOTU027,AOTU027_R
16,21065,14751,AOTU(R),3,LC10a,LC10a_R,AOTU008,AOTU008_R
17,21065,15927,AOTU(R),19,LC10a,LC10a_R,AOTU014,AOTU014_R
18,21065,17436,AOTU(R),29,LC10a,LC10a_R,AOTU015,AOTU015_R
19,21065,17461,AOTU(R),21,LC10a,LC10a_R,AOTU015,AOTU015_R
20,21065,17953,AOTU(R),2,LC10a,LC10a_R,AOTU002_c,AOTU002_c_R
21,21065,17994,AOTU(R),28,LC10a,LC10a_R,AOTU029,AOTU029_R
22,21065,18026,AOTU(R),21,LC10a,LC10a_R,AOTU016_a,AOTU016_a_R
23,21065,18138,AOTU(R),2,LC10a,LC10a_R,AOTU015,AOTU015_R
24,21065,18146,AOTU(R),15,LC10a,LC10a_R,AOTU026,AOTU026_R
25,21065,18335,AOTU(R),28,LC10a,LC10a_R,AOTU015,AOTU015_R
26,21065,18720,AOTU(R),3,LC10a,LC10a_R,AOTU017,AOTU017_R
27,21065,18864,AOTU(R),1,LC10a,LC10a_R,AOTU028,AOTU028_R
28,21065,19066,AOTU(R),25,LC10a,LC10a_R,AOTU016_b,AOTU016_b_R
29,21065,19563,AOTU(R),37,LC10a,LC10a_R,AOTU016_c,AOTU016_c_R
30,21065,19929,AOTU(R),4,LC10a,LC10a_R,AOTU050,AOTU050_R
31,21065,20447,AOTU(R),1,LC10a,LC10a_R,AOTU008,AOTU008_R
32,21065,20582,AOTU(R),12,LC10a,LC10a_R,AOTU008,AOTU008_R
33,21065,21241,AOTU(R),1,LC10a,LC10a_R,AOTU016_b,AOTU016_b_R
34,21065,21375,AOTU(R),3,LC10a,LC10a_R,AOTU013,AOTU013_R
35,21065,22315,AOTU(R),6,LC10a,LC10a_R,AOTU008,AOTU008_R
36,21065,23509,AOTU(R),2,LC10a,LC10a_R,AOTU007_c,AOTU007_c_R
37,21065,23536,AOTU(R),5,LC10a,LC10a_R,AOTU008,AOTU008_R
38,21065,25023,AOTU(R),17,LC10a,LC10a_R,AOTU008,AOTU008_R
39,21065,25860,AOTU(R),2,LC10a,LC10a_R,AOTU059,25860(AOTU)_R
40,21065,26199,AOTU(R),1,LC10a,LC10a_R,AOTU002_c,AOTU002_c_R
41,21065,26320,AOTU(R),23,LC10a,LC10a_R,AOTU008,AOTU008_R
42,21065,27273,AOTU(R),1,LC10a,LC10a_R,AOTU059,14368(AOTU)_R
43,21065,28671,AOTU(R),5,LC10a,LC10a_R,AOTU022,AOTU022_R
44,21065,28922,AOTU(R),9,LC10a,LC10a_R,AOTU008,AOTU008_R
45,21065,29534,AOTU(R),7,LC10a,LC10a_R,AOTU008,AOTU008_R
46,21065,29622,AOTU(R),13,LC10a,LC10a_R,AOTU002_b,AOTU002_b_R
47,21065,30280,AOTU(R),2,LC10a,LC10a_R,AOTU059,14368(AOTU)_R
48,21065,35728,AOTU(R),1,LC10a,LC10a_R,AOTU007_c,AOTU007_c_R
49,21065,36047,AOTU(R),17,LC10a,LC10a_R,AOTU002_b,AOTU002_b_R
50,21065,36409,AOTU(R),3,LC10a,LC10a_R,AOTU001,AOTU001_R
51,21065,37829,AOTU(R),2,LC10a,LC10a_R,AOTU059,14368(AOTU)_R
52,21065,38915,AOTU(R),2,LC10a,LC10a_R,AOTU020,AOTU020_R
53,21065,43873,AOTU(R),2,LC10a,LC10a_R,AOTU059,AOTU059_R
54,21065,45806,AOTU(R),3,LC10a,LC10a_R,AOTU003,AOTU003_R
55,21065,50539,AOTU(R),1,LC10a,LC10a_R,AOTU060,AOTU060_R
56,21065,82711,AOTU(R),2,LC10a,LC10a_R,AOTU102m,AOTU102m_R
57,21065,83962,AOTU(R),2,LC10a,LC10a_R,AOTU018,AOTU018_R
58,21065,87708,AOTU(R),8,LC10a,LC10a_R,AOTU003,AOTU003_R
59,21065,141703,AOTU(R),5,LC10a,LC10a_R,AOTU001,AOTU001_R
60,21065,519926,AOTU(R),19,LC10a,LC10a_R,AOTU025,AOTU025_R
61,21065,523317,AOTU(R),56,LC10a,LC10a_R,AOTU041,AOTU041_R
62,21065,524268,AOTU(R),4,LC10a,LC10a_R,AOTU063_a,AOTU063_a_R
63,21065,524646,AOTU(R),24,LC10a,LC10a_R,AOTU002_b,AOTU002_b_R
64,21065,555277,AOTU(R),7,LC10a,LC10a_R,AOTU008,AOTU008_R
65,21065,555803,AOTU(R),11,LC10a,LC10a_R,AOTU024,AOTU024_R
66,21065,565505,AOTU(R),34,LC10a,LC10a_R,AOTU008,AOTU008_R
67,21199,10005,AOTU(R),174,LC10a,LC10a_R,AOTU019,AOTU019_R
68,21199,10031,AOTU(R),64,LC10a,LC10a_R,AOTU041,AOTU041_R
69,21199,10526,AOTU(R),3,LC10a,LC10a_R,AOTU035,AOTU035_L
70,21199,10774,AOTU(R),3,LC10a,LC10a_R,AOTU100m,AOTU100m_R
71,21199,10850,AOTU(R),12,LC10a,LC10a_R,AOTU016_c,AOTU016_c_R
72,21199,11787,AOTU(R),2,LC10a,LC10a_R,AOTU033,AOTU033_R
73,21199,12051,AOTU(R),24,LC10a,LC10a_R,AOTU101m,AOTU101m_R
74,21199,12084,AOTU(R),88,LC10a,LC10a_R,AOTU063_b,AOTU063_b_R
75,21199,12792,AOTU(R),62,LC10a,LC10a_R,AOTU023,AOTU023_R
76,21199,13441,AOTU(R),39,LC10a,LC10a_R,AOTU027,AOTU027_R
77,21199,14751,AOTU(R),13,LC10a,LC10a_R,AOTU008,AOTU008_R
78,21199,15548,AOTU(R),2,LC10a,LC10a_R,AOTU052,AOTU052_R
79,21199,15927,AOTU(R),36,LC10a,LC10a_R,AOTU014,AOTU014_R
80,21199,16340,AOTU(R),2,LC10a,LC10a_R,AOTU059,14368(AOTU)_R
81,21199,17436,AOTU(R),1,LC10a,LC10a_R,AOTU015,AOTU015_R
82,21199,17461,AOTU(R),3,LC10a,LC10a_R,AOTU015,AOTU015_R
83,21199,17953,AOTU(R),20,LC10a,LC10a_R,AOTU002_c,AOTU002_c_R
84,21199,17994,AOTU(R),26,LC10a,LC10a_R,AOTU029,AOTU029_R
85,21199,18138,AOTU(R),8,LC10a,LC10a_R,AOTU015,AOTU015_R
86,21199,18335,AOTU(R),14,LC10a,LC10a_R,AOTU015,AOTU015_R
87,21199,18720,AOTU(R),10,LC10a,LC10a_R,AOTU017,AOTU017_R
88,21199,18864,AOTU(R),2,LC10a,LC10a_R,AOTU028,AOTU028_R
89,21199,19066,AOTU(R),62,LC10a,LC10a_R,AOTU016_b,AOTU016_b_R
90,21199,19563,AOTU(R),36,LC10a,LC10a_R,AOTU016_c,AOTU016_c_R
91,21199,19961,AOTU(R),8,LC10a,LC10a_R,AOTU017,AOTU017_R
92,21199,20205,AOTU(R),9,LC10a,LC10a_R,AOTU016_b,AOTU016_b_R
93,21199,20447,AOTU(R),2,LC10a,LC10a_R,AOTU008,AOTU008_R
94,21199,20582,AOTU(R),40,LC10a,LC10a_R,AOTU008,AOTU008_R
95,21199,21241,AOTU(R),33,LC10a,LC10a_R,AOTU016_b,AOTU016_b_R
96,21199,21271,AOTU(R),6,LC10a,LC10a_R,AOTU016_b,AOTU016_b_R
97,21199,21886,AOTU(R),3,LC10a,LC10a_R,AOTU050,AOTU050_R
98,21199,22434,AOTU(R),9,LC10a,LC10a_R,AOTU002_a,AOTU002_a_R
99,21199,23509,AOTU(R),1,LC10a,LC10a_R,AOTU007_c,AOTU007_c_R
100,21199,23536,AOTU(R),7,LC10a,LC10a_R,AOTU008,AOTU008_R
101,21199,25023,AOTU(R),35,LC10a,LC10a_R,AOTU008,AOTU008_R
102,21199,26199,AOTU(R),18,LC10a,LC10a_R,AOTU002_c,AOTU002_c_R
103,21199,26320,AOTU(R),33,LC10a,LC10a_R,AOTU008,AOTU008_R
104,21199,27273,AOTU(R),14,LC10a,LC10a_R,AOTU059,14368(AOTU)_R
105,21199,28922,AOTU(R),1,LC10a,LC10a_R,AOTU008,AOTU008_R
106,21199,29534,AOTU(R),3,LC10a,LC10a_R,AOTU008,AOTU008_R
107,21199,29622,AOTU(R),26,LC10a,LC10a_R,AOTU002_b,AOTU002_b_R
108,21199,30280,AOTU(R),6,LC10a,LC10a_R,AOTU059,14368(AOTU)_R
109,21199,30771,AOTU(R),2,LC10a,LC10a_R,AOTU020,AOTU020_R
110,21199,31100,AOTU(R),1,LC10a,LC10a_R,AOTU032,AOTU032_R
111,21199,33122,AOTU(R),2,LC10a,LC10a_R,AOTU007_b,AOTU007_b_R
