,bodyId,roi,pre,post,downstream,upstream
0,21065,AOTU(R),351,435,2479,435
1,21065,CentralBrain,352,438,2482,438
2,21065,CentralBrain-unspecified,1,3,3,3
3,21065,LO(R),39,1418,210,1418
4,21065,LO_R_col_18_16,0,1,0,1
5,21065,LO_R_col_19_15,0,7,0,7
6,21065,LO_R_col_19_16,2,23,15,23
7,21065,LO_R_col_19_17,0,3,0,3
8,21065,LO_R_col_19_18,0,7,0,7
9,21065,LO_R_col_20_14,0,39,0,39
10,21065,LO_R_col_20_15,0,113,0,113
11,21065,LO_R_col_20_16,2,160,9,160
12,21065,LO_R_col_20_17,2,64,10,64
13,21065,LO_R_col_20_18,0,4,0,4
14,21065,LO_R_col_21_13,0,2,0,2
15,21065,LO_R_col_21_14,2,140,8,140
16,21065,LO_R_col_21_15,8,146,53,146
17,21065,LO_R_col_21_16,9,127,45,127
18,21065,LO_R_col_21_17,2,52,10,52
19,21065,LO_R_col_21_18,0,9,0,9
20,21065,LO_R_col_22_13,0,7,0,7
21,21065,LO_R_col_22_14,0,64,0,64
22,21065,LO_R_col_22_15,1,132,6,132
23,21065,LO_R_col_22_16,5,84,24,84
24,21065,LO_R_col_22_17,2,18,12,18
25,21065,LO_R_col_22_18,0,9,0,9
26,21065,LO_R_col_23_13,0,1,0,1
27,21065,LO_R_col_23_14,0,2,0,2
28,21065,LO_R_col_23_15,2,48,8,48
29,21065,LO_R_col_23_16,0,75,1,75
30,21065,LO_R_col_23_17,0,28,0,28
31,21065,LO_R_col_23_18,0,17,0,17
32,21065,LO_R_col_23_19,0,6,0,6
33,21065,LO_R_col_24_15,0,8,0,8
34,21065,LO_R_col_24_16,2,15,9,15
35,21065,LO_R_col_24_17,0,7,0,7
36,21065,LO_R_layer_3,16,238,80,238
37,21065,LO_R_layer_4,23,199,130,199
38,21065,LO_R_layer_5,0,360,0,360
39,21065,LO_R_layer_6,0,563,0,563
40,21065,LO_R_layer_7,0,58,0,58
41,21065,NotPrimary,0,0,0,0
42,21065,Optic(R),40,1419,212,1419
43,21065,Optic-unspecified(R),1,1,2,1
44,21199,AOTU(R),355,408,2557,408
45,21199,CentralBrain,355,417,2557,417
46,21199,CentralBrain-unspecified,0,9,0,9
47,21199,LO(R),41,1231,224,1231
48,21199,LO_R_col_20_12,0,6,0,6
49,21199,LO_R_col_20_13,0,88,0,88
50,21199,LO_R_col_20_14,2,43,4,43
51,21199,LO_R_col_20_15,0,2,0,2
52,21199,LO_R_col_21_11,0,9,0,9
53,21199,LO_R_col_21_12,0,93,0,93
54,21199,LO_R_col_21_13,9,188,58,188
55,21199,LO_R_col_21_14,1,50,5,50
56,21199,LO_R_col_22_11,0,16,0,16
57,21199,LO_R_col_22_12,1,69,0,69
58,21199,LO_R_col_22_13,6,177,30,177
59,21199,LO_R_col_22_14,1,97,6,97
60,21199,LO_R_col_22_15,4,40,24,40
61,21199,LO_R_col_23_11,0,1,0,1
62,21199,LO_R_col_23_12,0,18,0,18
63,21199,LO_R_col_23_13,1,104,6,104
64,21199,LO_R_col_23_14,1,47,4,47
65,21199,LO_R_col_23_15,4,51,22,51
66,21199,LO_R_col_23_16,0,5,0,5
67,21199,LO_R_col_24_12,1,11,5,11
68,21199,LO_R_col_24_13,7,34,39,34
69,21199,LO_R_col_24_14,0,8,2,8
70,21199,LO_R_col_24_15,0,45,0,45
71,21199,LO_R_col_24_16,0,7,0,7
72,21199,LO_R_col_25_12,0,1,0,1
